Date,Price,Open,High,Low,Vol.,Change %,Company
01/01/2018,"1,397.58","1,226.67","1,427.61","1,214.88",68.17M,13.39%,EZJ
12/01/2017,"1,232.56","1,176.99","1,235.93","1,153.42",62.45M,4.13%,EZJ
11/01/2017,"1,183.73","1,132.37","1,207.30","1,043.97",68.08M,5.00%,EZJ
10/01/2017,"1,127.32","1,043.97","1,134.06","1,030.50",72.88M,10.02%,EZJ
09/01/2017,"1,024.61","1,006.09","1,047.55",955.78,71.91M,1.76%,EZJ
08/01/2017,"1,006.93","1,043.97","1,155.10",994.30,58.99M,-3.24%,EZJ
07/01/2017,"1,040.60","1,132.37","1,215.72","1,037.24",81.20M,-9.05%,EZJ
06/01/2017,"1,144.16","1,191.31","1,197.71","1,089.44",76.17M,-3.89%,EZJ
05/01/2017,"1,190.46",979.99,"1,201.41",972.97,108.66M,21.06%,EZJ
04/01/2017,983.35,861.28,989.25,845.84,71.59M,13.84%,EZJ
03/01/2017,863.80,809.08,869.70,788.03,98.01M,7.89%,EZJ
02/01/2017,800.66,798.55,838.36,763.10,78.13M,0.11%,EZJ
01/01/2017,799.82,846.12,911.79,799.82,95.56M,-5.47%,EZJ
12/01/2016,846.12,835.18,882.16,808.24,49.14M,1.52%,EZJ
11/01/2016,833.49,790.14,934.52,782.56,97.81M,5.66%,EZJ
10/01/2016,788.87,844.44,855.20,716.47,109.76M,-6.95%,EZJ
09/01/2016,847.81,936.21,"1,033.87",835.60,80.68M,-8.87%,EZJ
08/01/2016,930.31,883.17,949.68,839.12,60.58M,6.15%,EZJ
07/01/2016,876.43,926.95,991.77,819.18,79.30M,-4.14%,EZJ
06/01/2016,914.32,"1,293.18","1,299.91",833.49,70.56M,-29.16%,EZJ
05/01/2016,"1,290.65","1,244.35","1,318.44","1,190.17",46.41M,4.07%,EZJ
04/01/2016,"1,240.14","1,272.97","1,303.32","1,203.09",37.62M,-3.03%,EZJ
03/01/2016,"1,278.87","1,271.29","1,328.54","1,191.31",39.60M,0.86%,EZJ
02/01/2016,"1,267.92","1,306.65","1,352.95","1,227.51",44.50M,-2.71%,EZJ
01/01/2016,"1,303.28","1,456.51","1,487.66","1,267.92",42.30M,-11.03%,EZJ
12/01/2015,"1,464.93","1,393.37","1,491.03","1,354.64",28.20M,5.26%,EZJ
11/01/2015,"1,391.68","1,439.67","1,523.02","1,310.86",43.38M,-5.54%,EZJ
10/01/2015,"1,473.35","1,511.23","1,532.28","1,393.37",31.44M,-1.52%,EZJ
09/01/2015,"1,496.08","1,392.52","1,554.41","1,371.02",38.73M,5.59%,EZJ
08/01/2015,"1,416.94","1,379.90","1,473.23","1,315.91",30.20M,2.37%,EZJ
07/01/2015,"1,384.10","1,315.07","1,489.34","1,307.98",43.35M,6.34%,EZJ
06/01/2015,"1,301.60","1,356.32","1,373.16","1,280.55",45.50M,-3.92%,EZJ
05/01/2015,"1,354.64","1,523.02","1,588.47","1,337.80",59.71M,-11.25%,EZJ
04/01/2015,"1,526.39","1,584.48","1,613.11","1,501.97",29.69M,-3.67%,EZJ
03/01/2015,"1,584.48","1,454.83","1,603.00","1,385.79",42.98M,8.66%,EZJ
02/01/2015,"1,458.19","1,561.75","1,561.75","1,399.26",43.98M,-6.98%,EZJ
01/01/2015,"1,567.64","1,415.26","1,624.05","1,331.91",51.46M,11.43%,EZJ
12/01/2014,"1,406.84","1,402.63","1,484.75","1,322.95",37.61M,1.09%,EZJ
11/01/2014,"1,391.68","1,282.23","1,432.11","1,254.45",53.74M,10.20%,EZJ
10/01/2014,"1,262.87","1,198.04","1,269.60","1,096.17",60.51M,5.41%,EZJ
09/01/2014,"1,198.04","1,120.59","1,212.35","1,081.86",41.15M,6.59%,EZJ
08/01/2014,"1,123.95","1,088.59","1,161.67","1,016.19",36.39M,3.09%,EZJ
07/01/2014,"1,090.28","1,155.95","1,195.52","1,039.76",80.37M,-5.13%,EZJ
06/01/2014,"1,149.21","1,295.70","1,370.63","1,144.16",43.38M,-10.78%,EZJ
05/01/2014,"1,288.13","1,378.21","1,464.93","1,240.14",37.33M,-6.54%,EZJ
04/01/2014,"1,378.21","1,450.62","1,560.06","1,351.27",28.18M,-4.55%,EZJ
03/01/2014,"1,443.88","1,425.36","1,482.26","1,328.54",30.55M,-0.35%,EZJ
02/01/2014,"1,448.93","1,354.57","1,458.59","1,322.55",25.89M,7.36%,EZJ
01/01/2014,"1,349.64","1,264.26","1,430.91","1,257.04",36.82M,7.03%,EZJ
09/01/2023,"1,093.00","1,061.00","1,167.00","1,018.00",271.14K,3.60%,JET2
08/01/2023,"1,055.00","1,149.00","1,190.00","1,034.00",8.75M,-6.14%,JET2
07/01/2023,"1,124.00","1,261.00","1,297.00","1,072.00",18.35M,-9.79%,JET2
06/01/2023,"1,246.00","1,219.00","1,305.56","1,165.00",19.89M,4.18%,JET2
05/01/2023,"1,196.00","1,168.00","1,307.03","1,150.00",9.54M,-2.45%,JET2
04/01/2023,"1,226.00","1,316.00","1,368.00","1,195.00",9.94M,-6.59%,JET2
03/01/2023,"1,312.50","1,330.00","1,394.50","1,200.50",22.30M,1.47%,JET2
02/01/2023,"1,293.50","1,221.50","1,341.50","1,173.50",14.71M,6.46%,JET2
01/01/2023,"1,215.00",958.80,"1,244.50",931.00,20.96M,26.77%,JET2
12/01/2022,958.40,"1,034.00","1,035.00",936.20,15.32M,-4.87%,JET2
11/01/2022,"1,007.50",858.40,"1,053.00",841.00,25.64M,18.56%,JET2
10/01/2022,849.80,675.00,874.60,637.40,13.22M,22.63%,JET2
09/01/2022,693.00,890.00,938.00,679.14,15.50M,-18.89%,JET2
08/01/2022,854.40,870.80,"1,027.22",828.00,7.63M,-6.79%,JET2
07/01/2022,916.60,914.80,935.13,739.55,16.73M,1.19%,JET2
06/01/2022,905.80,"1,219.00","1,219.00",870.60,8.96M,-22.45%,JET2
05/01/2022,"1,168.00","1,270.00","1,290.00","1,064.50",9.71M,-5.84%,JET2
04/01/2022,"1,240.50","1,195.50","1,356.50","1,105.00",9.70M,8.34%,JET2
03/01/2022,"1,145.00","1,295.50","1,310.00",912.40,16.71M,-10.79%,JET2
02/01/2022,"1,283.50","1,313.00","1,434.19","1,193.63",12.89M,-2.62%,JET2
01/01/2022,"1,318.00","1,104.50","1,329.00","1,104.50",13.74M,18.21%,JET2
12/01/2021,"1,115.00",980.80,"1,131.00",916.60,11.62M,14.22%,JET2
11/01/2021,976.20,"1,219.00","1,371.00",953.20,20.77M,-19.95%,JET2
10/01/2021,"1,219.50","1,281.00","1,330.00","1,162.00",11.34M,-4.73%,JET2
09/01/2021,"1,280.00","1,169.00","1,349.50","1,054.50",14.73M,10.92%,JET2
08/01/2021,"1,154.00","1,282.00","1,344.00","1,133.50",9.58M,-7.05%,JET2
07/01/2021,"1,241.50","1,200.00","1,293.00","1,020.00",22.43M,4.90%,JET2
06/01/2021,"1,183.50","1,377.00","1,400.00","1,159.88",24.16M,-12.33%,JET2
05/01/2021,"1,350.00","1,492.00","1,573.22","1,322.50",10.00M,-9.49%,JET2
04/01/2021,"1,491.50","1,261.00","1,508.70","1,206.00",12.20M,17.63%,JET2
03/01/2021,"1,268.00","1,484.00","1,504.00","1,200.00",19.71M,-12.79%,JET2
02/01/2021,"1,454.00","1,335.00","1,498.09","1,180.00",30.20M,10.24%,JET2
01/01/2021,"1,319.00","1,472.00","1,524.00","1,177.00",13.22M,-7.76%,JET2
12/01/2020,"1,430.00","1,419.00","1,520.00","1,218.00",17.68M,2.22%,JET2
11/01/2020,"1,399.00",830.00,"1,433.00",771.00,24.20M,64.49%,JET2
10/01/2020,850.50,670.00,970.50,660.50,13.13M,26.66%,JET2
09/01/2020,671.50,710.00,765.00,620.00,13.11M,-5.95%,JET2
08/01/2020,714.00,646.38,799.50,613.50,8.22M,10.44%,JET2
07/01/2020,646.50,849.50,900.50,577.00,20.21M,-22.99%,JET2
06/01/2020,839.50,921.50,"1,038.00",762.00,21.90M,-4.82%,JET2
